2013/6/4 16:31 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
918,14:00～15:00,6/4,9:5

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
780,14:00～15:00,6/4,9:5

DATE,TIME,当日実績(万kW),予測値（万kW)
2013/6/4,0:00,578,0
2013/6/4,1:00,567,0
2013/6/4,2:00,595,0
2013/6/4,3:00,636,0
2013/6/4,4:00,634,0
2013/6/4,5:00,604,0
2013/6/4,6:00,598,0
2013/6/4,7:00,618,0
2013/6/4,8:00,690,0
2013/6/4,9:00,741,0
2013/6/4,10:00,770,0
2013/6/4,11:00,784,0
2013/6/4,12:00,727,0
2013/6/4,13:00,784,0
2013/6/4,14:00,797,0
2013/6/4,15:00,789,0
2013/6/4,16:00,0,765
2013/6/4,17:00,0,735
2013/6/4,18:00,0,725
2013/6/4,19:00,0,730
2013/6/4,20:00,0,695
2013/6/4,21:00,0,660
2013/6/4,22:00,0,625
2013/6/4,23:00,0,595

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

メッセージＮｏ,節電お願い分
,
,

DATE,TIME,当日実績（１０分間隔値）(万kW)
2013/6/4,0:00,575
2013/6/4,0:10,579
2013/6/4,0:20,585
2013/6/4,0:30,580
2013/6/4,0:40,586
2013/6/4,0:50,580
2013/6/4,1:00,559
2013/6/4,1:10,562
2013/6/4,1:20,572
2013/6/4,1:30,567
2013/6/4,1:40,573
2013/6/4,1:50,575
2013/6/4,2:00,573
2013/6/4,2:10,586
2013/6/4,2:20,599
2013/6/4,2:30,605
2013/6/4,2:40,607
2013/6/4,2:50,612
2013/6/4,3:00,631
2013/6/4,3:10,636
2013/6/4,3:20,636
2013/6/4,3:30,641
2013/6/4,3:40,640
2013/6/4,3:50,640
2013/6/4,4:00,645
2013/6/4,4:10,638
2013/6/4,4:20,640
2013/6/4,4:30,633
2013/6/4,4:40,624
2013/6/4,4:50,628
2013/6/4,5:00,626
2013/6/4,5:10,610
2013/6/4,5:20,606
2013/6/4,5:30,600
2013/6/4,5:40,592
2013/6/4,5:50,598
2013/6/4,6:00,604
2013/6/4,6:10,601
2013/6/4,6:20,594
2013/6/4,6:30,599
2013/6/4,6:40,602
2013/6/4,6:50,599
2013/6/4,7:00,615
2013/6/4,7:10,612
2013/6/4,7:20,613
2013/6/4,7:30,623
2013/6/4,7:40,621
2013/6/4,7:50,632
2013/6/4,8:00,667
2013/6/4,8:10,685
2013/6/4,8:20,691
2013/6/4,8:30,694
2013/6/4,8:40,699
2013/6/4,8:50,718
2013/6/4,9:00,731
2013/6/4,9:10,735
2013/6/4,9:20,738
2013/6/4,9:30,743
2013/6/4,9:40,751
2013/6/4,9:50,762
2013/6/4,10:00,759
2013/6/4,10:10,762
2013/6/4,10:20,774
2013/6/4,10:30,781
2013/6/4,10:40,780
2013/6/4,10:50,778
2013/6/4,11:00,789
2013/6/4,11:10,792
2013/6/4,11:20,788
2013/6/4,11:30,783
2013/6/4,11:40,781
2013/6/4,11:50,783
2013/6/4,12:00,747
2013/6/4,12:10,730
2013/6/4,12:20,716
2013/6/4,12:30,713
2013/6/4,12:40,724
2013/6/4,12:50,752
2013/6/4,13:00,771
2013/6/4,13:10,784
2013/6/4,13:20,790
2013/6/4,13:30,798
2013/6/4,13:40,796
2013/6/4,13:50,802
2013/6/4,14:00,790
2013/6/4,14:10,797
2013/6/4,14:20,797
2013/6/4,14:30,800
2013/6/4,14:40,799
2013/6/4,14:50,796
2013/6/4,15:00,776
2013/6/4,15:10,788
2013/6/4,15:20,791
2013/6/4,15:30,796
2013/6/4,15:40,796
2013/6/4,15:50,786
2013/6/4,16:00,782
2013/6/4,16:10,792
2013/6/4,16:20,793
2013/6/4,16:30,
2013/6/4,16:40,
2013/6/4,16:50,
2013/6/4,17:00,
2013/6/4,17:10,
2013/6/4,17:20,
2013/6/4,17:30,
2013/6/4,17:40,
2013/6/4,17:50,
2013/6/4,18:00,
2013/6/4,18:10,
2013/6/4,18:20,
2013/6/4,18:30,
2013/6/4,18:40,
2013/6/4,18:50,
2013/6/4,19:00,
2013/6/4,19:10,
2013/6/4,19:20,
2013/6/4,19:30,
2013/6/4,19:40,
2013/6/4,19:50,
2013/6/4,20:00,
2013/6/4,20:10,
2013/6/4,20:20,
2013/6/4,20:30,
2013/6/4,20:40,
2013/6/4,20:50,
2013/6/4,21:00,
2013/6/4,21:10,
2013/6/4,21:20,
2013/6/4,21:30,
2013/6/4,21:40,
2013/6/4,21:50,
2013/6/4,22:00,
2013/6/4,22:10,
2013/6/4,22:20,
2013/6/4,22:30,
2013/6/4,22:40,
2013/6/4,22:50,
2013/6/4,23:00,
2013/6/4,23:10,
2013/6/4,23:20,
2013/6/4,23:30,
2013/6/4,23:40,
2013/6/4,23:50,
