2013/6/4 16:25 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
487.7,19:00～20:00,6/3,16:05

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
384.0,19:00～20:00,6/3,16:05

DATE,TIME,当日実績(万kW),予測値(万kW),前日実績(万kW)
2013/6/4,0:00,301.1,0.0,287.9
2013/6/4,1:00,304.5,0.0,295.0
2013/6/4,2:00,314.3,0.0,302.6
2013/6/4,3:00,319.7,0.0,308.8
2013/6/4,4:00,307.7,0.0,299.5
2013/6/4,5:00,303.2,0.0,293.9
2013/6/4,6:00,302.4,0.0,293.8
2013/6/4,7:00,313.4,0.0,308.4
2013/6/4,8:00,337.6,0.0,333.3
2013/6/4,9:00,356.1,0.0,354.2
2013/6/4,10:00,359.7,0.0,359.7
2013/6/4,11:00,363.6,0.0,361.8
2013/6/4,12:00,346.9,0.0,342.3
2013/6/4,13:00,367.1,0.0,361.6
2013/6/4,14:00,368.4,0.0,362.6
2013/6/4,15:00,365.6,0.0,360.8
2013/6/4,16:00,0.0,372.0,365.1
2013/6/4,17:00,0.0,371.0,361.2
2013/6/4,18:00,0.0,372.0,363.0
2013/6/4,19:00,0.0,384.0,378.4
2013/6/4,20:00,0.0,363.0,359.7
2013/6/4,21:00,0.0,337.0,335.5
2013/6/4,22:00,0.0,326.0,318.9
2013/6/4,23:00,0.0,319.0,312.0

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
487.6,19:00～20:00,6/4,14:29

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
380.0,19:00～20:00,6/4,14:29

メッセージNo,節電お願い文
0,
0,

DATE,TIME,当日実績(５分間隔値)(万kW)
2013/6/4,00:00,310.6
2013/6/4,00:05,311.5
2013/6/4,00:10,309.6
2013/6/4,00:15,309.6
2013/6/4,00:20,305.2
2013/6/4,00:25,302.6
2013/6/4,00:30,302.0
2013/6/4,00:35,301.5
2013/6/4,00:40,301.0
2013/6/4,00:45,298.1
2013/6/4,00:50,296.8
2013/6/4,00:55,299.0
2013/6/4,01:00,300.7
2013/6/4,01:05,300.6
2013/6/4,01:10,298.9
2013/6/4,01:15,302.0
2013/6/4,01:20,303.6
2013/6/4,01:25,304.8
2013/6/4,01:30,306.0
2013/6/4,01:35,306.1
2013/6/4,01:40,308.4
2013/6/4,01:45,310.2
2013/6/4,01:50,309.4
2013/6/4,01:55,310.3
2013/6/4,02:00,312.8
2013/6/4,02:05,310.0
2013/6/4,02:10,309.0
2013/6/4,02:15,311.0
2013/6/4,02:20,313.0
2013/6/4,02:25,314.3
2013/6/4,02:30,314.7
2013/6/4,02:35,315.4
2013/6/4,02:40,318.3
2013/6/4,02:45,321.3
2013/6/4,02:50,322.2
2013/6/4,02:55,322.4
2013/6/4,03:00,321.5
2013/6/4,03:05,316.5
2013/6/4,03:10,316.8
2013/6/4,03:15,320.5
2013/6/4,03:20,323.4
2013/6/4,03:25,322.8
2013/6/4,03:30,319.0
2013/6/4,03:35,317.9
2013/6/4,03:40,318.4
2013/6/4,03:45,319.6
2013/6/4,03:50,315.9
2013/6/4,03:55,312.4
2013/6/4,04:00,310.4
2013/6/4,04:05,308.5
2013/6/4,04:10,307.9
2013/6/4,04:15,310.6
2013/6/4,04:20,307.5
2013/6/4,04:25,305.6
2013/6/4,04:30,305.2
2013/6/4,04:35,308.0
2013/6/4,04:40,307.1
2013/6/4,04:45,305.0
2013/6/4,04:50,303.7
2013/6/4,04:55,301.3
2013/6/4,05:00,303.0
2013/6/4,05:05,303.7
2013/6/4,05:10,303.7
2013/6/4,05:15,303.2
2013/6/4,05:20,301.8
2013/6/4,05:25,301.4
2013/6/4,05:30,300.9
2013/6/4,05:35,302.0
2013/6/4,05:40,300.2
2013/6/4,05:45,299.9
2013/6/4,05:50,296.7
2013/6/4,05:55,296.2
2013/6/4,06:00,299.6
2013/6/4,06:05,299.8
2013/6/4,06:10,298.4
2013/6/4,06:15,297.7
2013/6/4,06:20,297.7
2013/6/4,06:25,298.6
2013/6/4,06:30,299.6
2013/6/4,06:35,300.2
2013/6/4,06:40,302.0
2013/6/4,06:45,303.7
2013/6/4,06:50,304.7
2013/6/4,06:55,305.5
2013/6/4,07:00,307.4
2013/6/4,07:05,309.6
2013/6/4,07:10,309.3
2013/6/4,07:15,309.8
2013/6/4,07:20,310.9
2013/6/4,07:25,310.1
2013/6/4,07:30,311.0
2013/6/4,07:35,311.7
2013/6/4,07:40,312.7
2013/6/4,07:45,313.7
2013/6/4,07:50,316.2
2013/6/4,07:55,317.4
2013/6/4,08:00,319.8
2013/6/4,08:05,323.6
2013/6/4,08:10,326.7
2013/6/4,08:15,329.2
2013/6/4,08:20,332.2
2013/6/4,08:25,334.8
2013/6/4,08:30,339.0
2013/6/4,08:35,342.6
2013/6/4,08:40,344.0
2013/6/4,08:45,344.6
2013/6/4,08:50,346.5
2013/6/4,08:55,349.9
2013/6/4,09:00,352.8
2013/6/4,09:05,352.9
2013/6/4,09:10,352.8
2013/6/4,09:15,352.6
2013/6/4,09:20,352.8
2013/6/4,09:25,353.1
2013/6/4,09:30,353.9
2013/6/4,09:35,354.2
2013/6/4,09:40,355.8
2013/6/4,09:45,356.8
2013/6/4,09:50,358.2
2013/6/4,09:55,359.1
2013/6/4,10:00,358.6
2013/6/4,10:05,357.1
2013/6/4,10:10,357.7
2013/6/4,10:15,358.1
2013/6/4,10:20,358.6
2013/6/4,10:25,359.4
2013/6/4,10:30,360.4
2013/6/4,10:35,360.8
2013/6/4,10:40,361.9
2013/6/4,10:45,362.1
2013/6/4,10:50,361.3
2013/6/4,10:55,361.9
2013/6/4,11:00,362.3
2013/6/4,11:05,362.0
2013/6/4,11:10,361.8
2013/6/4,11:15,361.6
2013/6/4,11:20,361.5
2013/6/4,11:25,361.7
2013/6/4,11:30,361.9
2013/6/4,11:35,360.8
2013/6/4,11:40,360.4
2013/6/4,11:45,359.9
2013/6/4,11:50,358.9
2013/6/4,11:55,357.2
2013/6/4,12:00,351.0
2013/6/4,12:05,346.8
2013/6/4,12:10,344.1
2013/6/4,12:15,342.4
2013/6/4,12:20,340.9
2013/6/4,12:25,341.1
2013/6/4,12:30,342.9
2013/6/4,12:35,344.3
2013/6/4,12:40,344.0
2013/6/4,12:45,343.2
2013/6/4,12:50,344.6
2013/6/4,12:55,347.5
2013/6/4,13:00,357.2
2013/6/4,13:05,361.8
2013/6/4,13:10,364.2
2013/6/4,13:15,364.6
2013/6/4,13:20,364.4
2013/6/4,13:25,365.0
2013/6/4,13:30,364.8
2013/6/4,13:35,364.8
2013/6/4,13:40,365.8
2013/6/4,13:45,365.6
2013/6/4,13:50,365.0
2013/6/4,13:55,366.3
2013/6/4,14:00,366.6
2013/6/4,14:05,366.4
2013/6/4,14:10,366.0
2013/6/4,14:15,365.9
2013/6/4,14:20,365.1
2013/6/4,14:25,365.8
2013/6/4,14:30,365.4
2013/6/4,14:35,365.0
2013/6/4,14:40,366.2
2013/6/4,14:45,366.2
2013/6/4,14:50,365.3
2013/6/4,14:55,364.8
2013/6/4,15:00,361.4
2013/6/4,15:05,358.8
2013/6/4,15:10,359.8
2013/6/4,15:15,361.2
2013/6/4,15:20,361.9
2013/6/4,15:25,362.8
2013/6/4,15:30,363.7
2013/6/4,15:35,364.5
2013/6/4,15:40,364.7
2013/6/4,15:45,364.8
2013/6/4,15:50,364.5
2013/6/4,15:55,366.6
2013/6/4,16:00,367.9
2013/6/4,16:05,368.9
2013/6/4,16:10,367.8
2013/6/4,16:15,368.3
2013/6/4,16:20,367.3
2013/6/4,16:25,
2013/6/4,16:30,
2013/6/4,16:35,
2013/6/4,16:40,
2013/6/4,16:45,
2013/6/4,16:50,
2013/6/4,16:55,
2013/6/4,17:00,
2013/6/4,17:05,
2013/6/4,17:10,
2013/6/4,17:15,
2013/6/4,17:20,
2013/6/4,17:25,
2013/6/4,17:30,
2013/6/4,17:35,
2013/6/4,17:40,
2013/6/4,17:45,
2013/6/4,17:50,
2013/6/4,17:55,
2013/6/4,18:00,
2013/6/4,18:05,
2013/6/4,18:10,
2013/6/4,18:15,
2013/6/4,18:20,
2013/6/4,18:25,
2013/6/4,18:30,
2013/6/4,18:35,
2013/6/4,18:40,
2013/6/4,18:45,
2013/6/4,18:50,
2013/6/4,18:55,
2013/6/4,19:00,
2013/6/4,19:05,
2013/6/4,19:10,
2013/6/4,19:15,
2013/6/4,19:20,
2013/6/4,19:25,
2013/6/4,19:30,
2013/6/4,19:35,
2013/6/4,19:40,
2013/6/4,19:45,
2013/6/4,19:50,
2013/6/4,19:55,
2013/6/4,20:00,
2013/6/4,20:05,
2013/6/4,20:10,
2013/6/4,20:15,
2013/6/4,20:20,
2013/6/4,20:25,
2013/6/4,20:30,
2013/6/4,20:35,
2013/6/4,20:40,
2013/6/4,20:45,
2013/6/4,20:50,
2013/6/4,20:55,
2013/6/4,21:00,
2013/6/4,21:05,
2013/6/4,21:10,
2013/6/4,21:15,
2013/6/4,21:20,
2013/6/4,21:25,
2013/6/4,21:30,
2013/6/4,21:35,
2013/6/4,21:40,
2013/6/4,21:45,
2013/6/4,21:50,
2013/6/4,21:55,
2013/6/4,22:00,
2013/6/4,22:05,
2013/6/4,22:10,
2013/6/4,22:15,
2013/6/4,22:20,
2013/6/4,22:25,
2013/6/4,22:30,
2013/6/4,22:35,
2013/6/4,22:40,
2013/6/4,22:45,
2013/6/4,22:50,
2013/6/4,22:55,
2013/6/4,23:00,
2013/6/4,23:05,
2013/6/4,23:10,
2013/6/4,23:15,
2013/6/4,23:20,
2013/6/4,23:25,
2013/6/4,23:30,
2013/6/4,23:35,
2013/6/4,23:40,
2013/6/4,23:45,
2013/6/4,23:50,
2013/6/4,23:55,

