2013/6/4 16:25 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
411,14:00～15:00,6/4,7:50

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
375,14:00～15:00,6/4,7:50

DATE,TIME,当日実績(万kW)
2013/6/4,0:00,278
2013/6/4,1:00,279
2013/6/4,2:00,301
2013/6/4,3:00,308
2013/6/4,4:00,301
2013/6/4,5:00,286
2013/6/4,6:00,283
2013/6/4,7:00,298
2013/6/4,8:00,331
2013/6/4,9:00,357
2013/6/4,10:00,365
2013/6/4,11:00,371
2013/6/4,12:00,345
2013/6/4,13:00,370
2013/6/4,14:00,374
2013/6/4,15:00,372
2013/6/4,16:00,0
2013/6/4,17:00,0
2013/6/4,18:00,0
2013/6/4,19:00,0
2013/6/4,20:00,0
2013/6/4,21:00,0
2013/6/4,22:00,0
2013/6/4,23:00,0

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

メッセージＮｏ,節電お願い文
,
,

DATE,TIME,当日実績（５分間隔値）(万kW)
2013/6/4,0:00,280
2013/6/4,0:05,280
2013/6/4,0:10,284
2013/6/4,0:15,284
2013/6/4,0:20,283
2013/6/4,0:25,281
2013/6/4,0:30,281
2013/6/4,0:35,280
2013/6/4,0:40,278
2013/6/4,0:45,278
2013/6/4,0:50,275
2013/6/4,0:55,274
2013/6/4,1:00,274
2013/6/4,1:05,272
2013/6/4,1:10,276
2013/6/4,1:15,277
2013/6/4,1:20,278
2013/6/4,1:25,279
2013/6/4,1:30,281
2013/6/4,1:35,280
2013/6/4,1:40,283
2013/6/4,1:45,284
2013/6/4,1:50,286
2013/6/4,1:55,286
2013/6/4,2:00,288
2013/6/4,2:05,292
2013/6/4,2:10,296
2013/6/4,2:15,299
2013/6/4,2:20,301
2013/6/4,2:25,300
2013/6/4,2:30,302
2013/6/4,2:35,304
2013/6/4,2:40,307
2013/6/4,2:45,308
2013/6/4,2:50,308
2013/6/4,2:55,305
2013/6/4,3:00,307
2013/6/4,3:05,307
2013/6/4,3:10,311
2013/6/4,3:15,311
2013/6/4,3:20,313
2013/6/4,3:25,310
2013/6/4,3:30,312
2013/6/4,3:35,311
2013/6/4,3:40,310
2013/6/4,3:45,313
2013/6/4,3:50,313
2013/6/4,3:55,309
2013/6/4,4:00,307
2013/6/4,4:05,305
2013/6/4,4:10,306
2013/6/4,4:15,309
2013/6/4,4:20,309
2013/6/4,4:25,305
2013/6/4,4:30,304
2013/6/4,4:35,302
2013/6/4,4:40,300
2013/6/4,4:45,300
2013/6/4,4:50,299
2013/6/4,4:55,295
2013/6/4,5:00,293
2013/6/4,5:05,293
2013/6/4,5:10,296
2013/6/4,5:15,297
2013/6/4,5:20,292
2013/6/4,5:25,288
2013/6/4,5:30,290
2013/6/4,5:35,285
2013/6/4,5:40,284
2013/6/4,5:45,284
2013/6/4,5:50,282
2013/6/4,5:55,280
2013/6/4,6:00,282
2013/6/4,6:05,280
2013/6/4,6:10,283
2013/6/4,6:15,285
2013/6/4,6:20,285
2013/6/4,6:25,284
