2013/6/4 15:45 UPDATE,,,
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,原子力,火力,水力,揚水,地熱・太陽光,他社受電
2500,14:00～15:00,6/4,9:30,242,1189,219,426,1,425

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1960,14:00～15:00,6/4,9:30

使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
78,20,31,*,*

DATE,TIME,当日実績(万kW),予想値(万kW),前日実績(万kW)
2013/6/4,0:00,1367,0,1258
2013/6/4,1:00,1294,0,1216
2013/6/4,2:00,1330,0,1257
2013/6/4,3:00,1385,0,1320
2013/6/4,4:00,1373,0,1311
2013/6/4,5:00,1311,0,1262
2013/6/4,6:00,1346,0,1292
2013/6/4,7:00,1458,0,1418
2013/6/4,8:00,1651,0,1596
2013/6/4,9:00,1829,0,1768
2013/6/4,10:00,1896,0,1850
2013/6/4,11:00,1931,0,1880
2013/6/4,12:00,1827,0,1787
2013/6/4,13:00,1953,0,1903
2013/6/4,14:00,1977,0,1928
2013/6/4,15:00,0,0,1918
2013/6/4,16:00,0,0,1921
2013/6/4,17:00,0,0,1857
2013/6/4,18:00,0,0,1816
2013/6/4,19:00,0,0,1803
2013/6/4,20:00,0,0,1720
2013/6/4,21:00,0,0,1638
2013/6/4,22:00,0,0,1576
2013/6/4,23:00,0,0,1480

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,翌日の原子力,翌日の火力,翌日の水力,翌日の揚水,翌日の地熱・太陽光,翌日の他社受電
,,,,,,,,,,,,,,,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

翌日の使用率(%),予想気温(最低),予想気温(最高),
,,,

節電コメント
,

DATE,TIME,瞬間値(万kW)
2013/6/4,0:00,1416
2013/6/4,0:03,1412
2013/6/4,0:06,1405
2013/6/4,0:09,1397
2013/6/4,0:12,1404
2013/6/4,0:15,1388
2013/6/4,0:18,1377
2013/6/4,0:21,1370
2013/6/4,0:24,1371
2013/6/4,0:27,1368
2013/6/4,0:30,1359
2013/6/4,0:33,1362
2013/6/4,0:36,1360
2013/6/4,0:39,1355
2013/6/4,0:42,1346
2013/6/4,0:45,1334
2013/6/4,0:48,1331
2013/6/4,0:51,1334
2013/6/4,0:54,1326
2013/6/4,0:57,1315
2013/6/4,1:00,1317
2013/6/4,1:03,1316
2013/6/4,1:06,1311
2013/6/4,1:09,1307
2013/6/4,1:12,1295
2013/6/4,1:15,1299
2013/6/4,1:18,1298
2013/6/4,1:21,1288
2013/6/4,1:24,1285
2013/6/4,1:27,1294
2013/6/4,1:30,1289
2013/6/4,1:33,1287
2013/6/4,1:36,1292
2013/6/4,1:39,1291
2013/6/4,1:42,1294
2013/6/4,1:45,1284
2013/6/4,1:48,1290
2013/6/4,1:51,1285
2013/6/4,1:54,1283
2013/6/4,1:57,1283
2013/6/4,2:00,1283
2013/6/4,2:03,1294
2013/6/4,2:06,1313
2013/6/4,2:09,1317
2013/6/4,2:12,1317
2013/6/4,2:15,1316
2013/6/4,2:18,1313
2013/6/4,2:21,1308
2013/6/4,2:24,1323
2013/6/4,2:27,1314
2013/6/4,2:30,1317
2013/6/4,2:33,1329
2013/6/4,2:36,1351
2013/6/4,2:39,1354
2013/6/4,2:42,1361
2013/6/4,2:45,1361
2013/6/4,2:48,1354
2013/6/4,2:51,1357
2013/6/4,2:54,1357
2013/6/4,2:57,1354
2013/6/4,3:00,1360
2013/6/4,3:03,1370
2013/6/4,3:06,1378
2013/6/4,3:09,1385
2013/6/4,3:12,1370
2013/6/4,3:15,1383
2013/6/4,3:18,1381
2013/6/4,3:21,1377
2013/6/4,3:24,1377
2013/6/4,3:27,1388
2013/6/4,3:30,1393
2013/6/4,3:33,1389
2013/6/4,3:36,1391
2013/6/4,3:39,1390
2013/6/4,3:42,1394
2013/6/4,3:45,1398
2013/6/4,3:48,1399
2013/6/4,3:51,1401
2013/6/4,3:54,1396
2013/6/4,3:57,1388
2013/6/4,4:00,1385
2013/6/4,4:03,1396
2013/6/4,4:06,1396
2013/6/4,4:09,1390
2013/6/4,4:12,1387
2013/6/4,4:15,1390
2013/6/4,4:18,1389
2013/6/4,4:21,1378
2013/6/4,4:24,1381
2013/6/4,4:27,1373
2013/6/4,4:30,1369
2013/6/4,4:33,1373
2013/6/4,4:36,1371
2013/6/4,4:39,1368
2013/6/4,4:42,1361
2013/6/4,4:45,1357
2013/6/4,4:48,1350
2013/6/4,4:51,1353
2013/6/4,4:54,1344
2013/6/4,4:57,1344
2013/6/4,5:00,1331
2013/6/4,5:03,1340
2013/6/4,5:06,1335
2013/6/4,5:09,1335
2013/6/4,5:12,1325
2013/6/4,5:15,1317
2013/6/4,5:18,1323
2013/6/4,5:21,1327
2013/6/4,5:24,1325
2013/6/4,5:27,1314
2013/6/4,5:30,1312
2013/6/4,5:33,1300
2013/6/4,5:36,1295
2013/6/4,5:39,1289
2013/6/4,5:42,1298
2013/6/4,5:45,1296
2013/6/4,5:48,1287
2013/6/4,5:51,1286
2013/6/4,5:54,1284
2013/6/4,5:57,1300
2013/6/4,6:00,1304
2013/6/4,6:03,1310
2013/6/4,6:06,1332
2013/6/4,6:09,1340
2013/6/4,6:12,1344
2013/6/4,6:15,1345
2013/6/4,6:18,1334
2013/6/4,6:21,1323
2013/6/4,6:24,1323
2013/6/4,6:27,1327
2013/6/4,6:30,1340
2013/6/4,6:33,1363
2013/6/4,6:36,1358
2013/6/4,6:39,1352
2013/6/4,6:42,1368
2013/6/4,6:45,1369
2013/6/4,6:48,1372
2013/6/4,6:51,1372
2013/6/4,6:54,1373
2013/6/4,6:57,1375
2013/6/4,7:00,1389
2013/6/4,7:03,1391
2013/6/4,7:06,1416
2013/6/4,7:09,1419
2013/6/4,7:12,1421
2013/6/4,7:15,1433
2013/6/4,7:18,1446
2013/6/4,7:21,1450
2013/6/4,7:24,1450
2013/6/4,7:27,1447
2013/6/4,7:30,1449
2013/6/4,7:33,1469
2013/6/4,7:36,1485
2013/6/4,7:39,1485
2013/6/4,7:42,1491
2013/6/4,7:45,1496
2013/6/4,7:48,1503
2013/6/4,7:51,1500
2013/6/4,7:54,1504
2013/6/4,7:57,1518
2013/6/4,8:00,1529
2013/6/4,8:03,1534
2013/6/4,8:06,1555
2013/6/4,8:09,1577
2013/6/4,8:12,1584
2013/6/4,8:15,1600
2013/6/4,8:18,1621
2013/6/4,8:21,1625
2013/6/4,8:24,1631
2013/6/4,8:27,1645
2013/6/4,8:30,1662
2013/6/4,8:33,1678
2013/6/4,8:36,1689
2013/6/4,8:39,1690
2013/6/4,8:42,1700
2013/6/4,8:45,1714
2013/6/4,8:48,1727
2013/6/4,8:51,1742
2013/6/4,8:54,1747
2013/6/4,8:57,1768
2013/6/4,9:00,1773
2013/6/4,9:03,1790
2013/6/4,9:06,1797
2013/6/4,9:09,1806
2013/6/4,9:12,1805
2013/6/4,9:15,1803
2013/6/4,9:18,1815
2013/6/4,9:21,1820
2013/6/4,9:24,1820
2013/6/4,9:27,1822
2013/6/4,9:30,1830
2013/6/4,9:33,1838
2013/6/4,9:36,1846
2013/6/4,9:39,1846
2013/6/4,9:42,1847
2013/6/4,9:45,1858
2013/6/4,9:48,1863
2013/6/4,9:51,1862
2013/6/4,9:54,1867
2013/6/4,9:57,1874
2013/6/4,10:00,1877
2013/6/4,10:03,1879
2013/6/4,10:06,1880
2013/6/4,10:09,1877
2013/6/4,10:12,1882
2013/6/4,10:15,1886
2013/6/4,10:18,1896
2013/6/4,10:21,1898
2013/6/4,10:24,1894
2013/6/4,10:27,1895
2013/6/4,10:30,1899
2013/6/4,10:33,1901
2013/6/4,10:36,1906
2013/6/4,10:39,1906
2013/6/4,10:42,1907
2013/6/4,10:45,1904
2013/6/4,10:48,1914
2013/6/4,10:51,1905
2013/6/4,10:54,1907
2013/6/4,10:57,1916
2013/6/4,11:00,1915
2013/6/4,11:03,1922
2013/6/4,11:06,1931
2013/6/4,11:09,1928
2013/6/4,11:12,1933
2013/6/4,11:15,1934
2013/6/4,11:18,1939
2013/6/4,11:21,1930
2013/6/4,11:24,1936
2013/6/4,11:27,1939
2013/6/4,11:30,1934
2013/6/4,11:33,1932
2013/6/4,11:36,1932
2013/6/4,11:39,1936
2013/6/4,11:42,1937
2013/6/4,11:45,1936
2013/6/4,11:48,1928
2013/6/4,11:51,1927
2013/6/4,11:54,1924
2013/6/4,11:57,1924
2013/6/4,12:00,1910
2013/6/4,12:03,1871
2013/6/4,12:06,1857
2013/6/4,12:09,1826
2013/6/4,12:12,1823
2013/6/4,12:15,1812
2013/6/4,12:18,1814
2013/6/4,12:21,1808
2013/6/4,12:24,1805
2013/6/4,12:27,1802
2013/6/4,12:30,1797
2013/6/4,12:33,1804
2013/6/4,12:36,1801
2013/6/4,12:39,1803
2013/6/4,12:42,1803
2013/6/4,12:45,1812
2013/6/4,12:48,1825
2013/6/4,12:51,1842
2013/6/4,12:54,1853
2013/6/4,12:57,1863
2013/6/4,13:00,1884
2013/6/4,13:03,1906
2013/6/4,13:06,1922
2013/6/4,13:09,1930
2013/6/4,13:12,1939
2013/6/4,13:15,1942
2013/6/4,13:18,1949
2013/6/4,13:21,1952
2013/6/4,13:24,1951
2013/6/4,13:27,1955
2013/6/4,13:30,1959
2013/6/4,13:33,1966
2013/6/4,13:36,1972
2013/6/4,13:39,1977
2013/6/4,13:42,1970
2013/6/4,13:45,1971
2013/6/4,13:48,1974
2013/6/4,13:51,1976
2013/6/4,13:54,1975
2013/6/4,13:57,1980
2013/6/4,14:00,1980
2013/6/4,14:03,1979
2013/6/4,14:06,1976
2013/6/4,14:09,1974
2013/6/4,14:12,1977
2013/6/4,14:15,1977
2013/6/4,14:18,1980
2013/6/4,14:21,1981
2013/6/4,14:24,1978
2013/6/4,14:27,1975
2013/6/4,14:30,1976
2013/6/4,14:33,1974
2013/6/4,14:36,1978
2013/6/4,14:39,1982
2013/6/4,14:42,1975
2013/6/4,14:45,1976
2013/6/4,14:48,1975
2013/6/4,14:51,1974
2013/6/4,14:54,1974
2013/6/4,14:57,1975
2013/6/4,15:00,1971
2013/6/4,15:03,1965
2013/6/4,15:06,1948
2013/6/4,15:09,1946
2013/6/4,15:12,1947
2013/6/4,15:15,1952
2013/6/4,15:18,1956
2013/6/4,15:21,1957
2013/6/4,15:24,1958
2013/6/4,15:27,1957
2013/6/4,15:30,1960
2013/6/4,15:33,1963
2013/6/4,15:36,
2013/6/4,15:39,
2013/6/4,15:42,
2013/6/4,15:45,
2013/6/4,15:48,
2013/6/4,15:51,
2013/6/4,15:54,
2013/6/4,15:57,
2013/6/4,16:00,
2013/6/4,16:03,
2013/6/4,16:06,
2013/6/4,16:09,
2013/6/4,16:12,
2013/6/4,16:15,
2013/6/4,16:18,
2013/6/4,16:21,
2013/6/4,16:24,
2013/6/4,16:27,
2013/6/4,16:30,
2013/6/4,16:33,
2013/6/4,16:36,
2013/6/4,16:39,
2013/6/4,16:42,
2013/6/4,16:45,
2013/6/4,16:48,
2013/6/4,16:51,
2013/6/4,16:54,
2013/6/4,16:57,
