2013/6/4 15:55 UPDATE
ピーク時供給力(万kW),時台,供給力情報更新日,供給力情報更新時刻
1280,14:00,6/4,6:55

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1070,14:00～15:00,6/4,6:55

DATE,TIME,当日実績(万kW),前日実績(万kW)
2013/6/4,0:00,818,744
2013/6/4,0:05,817,733
2013/6/4,0:10,804,725
2013/6/4,0:15,799,720
2013/6/4,0:20,793,725
2013/6/4,0:25,794,715
2013/6/4,0:30,792,709
2013/6/4,0:35,786,695
2013/6/4,0:40,773,706
2013/6/4,0:45,776,705
2013/6/4,0:50,774,697
2013/6/4,0:55,777,708
2013/6/4,1:00,777,707
2013/6/4,1:05,777,715
2013/6/4,1:10,777,718
2013/6/4,1:15,783,723
2013/6/4,1:20,792,720
2013/6/4,1:25,790,717
2013/6/4,1:30,778,709
2013/6/4,1:35,782,721
2013/6/4,1:40,787,731
2013/6/4,1:45,796,735
2013/6/4,1:50,803,734
2013/6/4,1:55,798,737
2013/6/4,2:00,798,736
2013/6/4,2:05,807,746
2013/6/4,2:10,807,749
2013/6/4,2:15,819,751
2013/6/4,2:20,815,748
2013/6/4,2:25,820,753
2013/6/4,2:30,822,768
2013/6/4,2:35,827,777
2013/6/4,2:40,834,780
2013/6/4,2:45,835,777
2013/6/4,2:50,834,787
2013/6/4,2:55,847,786
2013/6/4,3:00,848,796
2013/6/4,3:05,853,799
2013/6/4,3:10,850,797
2013/6/4,3:15,860,797
2013/6/4,3:20,863,818
2013/6/4,3:25,870,825
2013/6/4,3:30,869,821
2013/6/4,3:35,867,819
2013/6/4,3:40,869,826
2013/6/4,3:45,883,834
2013/6/4,3:50,884,834
2013/6/4,3:55,887,833
2013/6/4,4:00,889,838
2013/6/4,4:05,888,839
2013/6/4,4:10,887,851
2013/6/4,4:15,896,852
2013/6/4,4:20,894,862
2013/6/4,4:25,901,861
2013/6/4,4:30,894,858
2013/6/4,4:35,889,861
2013/6/4,4:40,898,859
2013/6/4,4:45,896,856
2013/6/4,4:50,897,859
2013/6/4,4:55,888,849
2013/6/4,5:00,892,849
2013/6/4,5:05,892,863
2013/6/4,5:10,896,864
2013/6/4,5:15,875,862
2013/6/4,5:20,878,854
2013/6/4,5:25,884,858
2013/6/4,5:30,883,852
2013/6/4,5:35,880,852
2013/6/4,5:40,877,840
2013/6/4,5:45,864,835
2013/6/4,5:50,869,828
2013/6/4,5:55,864,831
2013/6/4,6:00,863,832
2013/6/4,6:05,864,838
2013/6/4,6:10,853,841
2013/6/4,6:15,864,840
2013/6/4,6:20,869,837
2013/6/4,6:25,874,842
2013/6/4,6:30,875,843
2013/6/4,6:35,874,834
2013/6/4,6:40,883,837
2013/6/4,6:45,886,837
2013/6/4,6:50,884,839
2013/6/4,6:55,883,849
2013/6/4,7:00,881,850
2013/6/4,7:05,890,854
2013/6/4,7:10,894,863
2013/6/4,7:15,881,857
2013/6/4,7:20,884,852
2013/6/4,7:25,884,858
2013/6/4,7:30,885,854
2013/6/4,7:35,888,855
2013/6/4,7:40,896,856
2013/6/4,7:45,892,861
2013/6/4,7:50,896,872
2013/6/4,7:55,902,869
2013/6/4,8:00,907,869
2013/6/4,8:05,913,873
2013/6/4,8:10,924,874
2013/6/4,8:15,927,882
2013/6/4,8:20,938,887
2013/6/4,8:25,943,892
2013/6/4,8:30,943,901
2013/6/4,8:35,950,912
2013/6/4,8:40,957,914
2013/6/4,8:45,967,920
2013/6/4,8:50,978,933
2013/6/4,8:55,985,936
2013/6/4,9:00,996,944
2013/6/4,9:05,1001,952
2013/6/4,9:10,1008,952
2013/6/4,9:15,1008,954
2013/6/4,9:20,1012,956
2013/6/4,9:25,1015,961
2013/6/4,9:30,1020,966
2013/6/4,9:35,1022,970
2013/6/4,9:40,1026,973
2013/6/4,9:45,1029,977
2013/6/4,9:50,1042,984
2013/6/4,9:55,1046,982
2013/6/4,10:00,1051,986
2013/6/4,10:05,1053,988
2013/6/4,10:10,1051,982
2013/6/4,10:15,1056,986
2013/6/4,10:20,1056,993
2013/6/4,10:25,1062,994
2013/6/4,10:30,1066,993
2013/6/4,10:35,1065,993
2013/6/4,10:40,1071,998
2013/6/4,10:45,1076,1001
2013/6/4,10:50,1077,1002
2013/6/4,10:55,1081,997
2013/6/4,11:00,1078,1010
2013/6/4,11:05,1084,1020
2013/6/4,11:10,1091,1021
2013/6/4,11:15,1088,1022
2013/6/4,11:20,1086,1019
2013/6/4,11:25,1090,1024
2013/6/4,11:30,1094,1026
2013/6/4,11:35,1094,1025
2013/6/4,11:40,1091,1024
