2013/6/4 16:24 UPDATE
ピーク時供給力(万kW),時間帯,供給力更新日,供給力更新時刻
439,13:00～16:00,6/4,9:00

予想最大電力(万kW),時間帯,予想最大電力更新日,予想最大電力更新時刻
370,14:00～15:00,6/4,9:00

DATE,TIME,当日実績(万kW)
2013/6/4,0:00,263
2013/6/4,1:00,269
2013/6/4,2:00,288
2013/6/4,3:00,312
2013/6/4,4:00,310
2013/6/4,5:00,292
2013/6/4,6:00,274
2013/6/4,7:00,278
2013/6/4,8:00,323
2013/6/4,9:00,352
2013/6/4,10:00,360
2013/6/4,11:00,368
2013/6/4,12:00,349
2013/6/4,13:00,375
2013/6/4,14:00,375
2013/6/4,15:00,375
2013/6/4,16:00,0
2013/6/4,17:00,0
2013/6/4,18:00,0
2013/6/4,19:00,0
2013/6/4,20:00,0
2013/6/4,21:00,0
2013/6/4,22:00,0
2013/6/4,23:00,0

翌平日のピーク時供給力(万kW),時間帯,供給力更新日,供給力更新時刻
,,,

翌平日の予想最大電力(万kW),時間帯,予想最大電力更新日,予想最大電力更新時刻
,,,

DATE,TIME,当日実績(6分間隔値)(万kW)
2013/6/4,0:00,270
2013/6/4,0:06,268
2013/6/4,0:12,267
2013/6/4,0:18,265
2013/6/4,0:24,262
2013/6/4,0:30,262
2013/6/4,0:36,260
2013/6/4,0:42,261
2013/6/4,0:48,259
2013/6/4,0:54,263
2013/6/4,1:00,263
2013/6/4,1:06,266
2013/6/4,1:12,268
2013/6/4,1:18,268
2013/6/4,1:24,269
2013/6/4,1:30,270
2013/6/4,1:36,269
2013/6/4,1:42,269
2013/6/4,1:48,269
2013/6/4,1:54,273
2013/6/4,2:00,274
2013/6/4,2:06,278
2013/6/4,2:12,280
2013/6/4,2:18,283
2013/6/4,2:24,285
2013/6/4,2:30,287
2013/6/4,2:36,290
2013/6/4,2:42,294
2013/6/4,2:48,296
2013/6/4,2:54,298
2013/6/4,3:00,301
2013/6/4,3:06,304
2013/6/4,3:12,307
2013/6/4,3:18,309
2013/6/4,3:24,311
2013/6/4,3:30,314
2013/6/4,3:36,315
2013/6/4,3:42,317
2013/6/4,3:48,319
2013/6/4,3:54,315
2013/6/4,4:00,315
2013/6/4,4:06,315
2013/6/4,4:12,312
2013/6/4,4:18,312
2013/6/4,4:24,311
2013/6/4,4:30,312
2013/6/4,4:36,312
2013/6/4,4:42,309
2013/6/4,4:48,308
2013/6/4,4:54,307
2013/6/4,5:00,305
2013/6/4,5:06,303
2013/6/4,5:12,303
2013/6/4,5:18,301
2013/6/4,5:24,298
2013/6/4,5:30,293
2013/6/4,5:36,290
2013/6/4,5:42,287
2013/6/4,5:48,283
2013/6/4,5:54,281
2013/6/4,6:00,281
2013/6/4,6:06,281
2013/6/4,6:12,278
2013/6/4,6:18,278
2013/6/4,6:24,275
2013/6/4,6:30,274
2013/6/4,6:36,273
2013/6/4,6:42,272
2013/6/4,6:48,271
2013/6/4,6:54,271
2013/6/4,7:00,268
2013/6/4,7:06,271
2013/6/4,7:12,273
2013/6/4,7:18,274
2013/6/4,7:24,275
2013/6/4,7:30,278
2013/6/4,7:36,280
2013/6/4,7:42,283
2013/6/4,7:48,287
2013/6/4,7:54,289
2013/6/4,8:00,295
2013/6/4,8:06,302
2013/6/4,8:12,308
2013/6/4,8:18,314
2013/6/4,8:24,319
2013/6/4,8:30,324
2013/6/4,8:36,328
2013/6/4,8:42,334
2013/6/4,8:48,336
2013/6/4,8:54,339
2013/6/4,9:00,344
2013/6/4,9:06,348
2013/6/4,9:12,350
2013/6/4,9:18,351
2013/6/4,9:24,351
2013/6/4,9:30,354
2013/6/4,9:36,354
2013/6/4,9:42,356
2013/6/4,9:48,356
2013/6/4,9:54,356
2013/6/4,10:00,358
2013/6/4,10:06,355
2013/6/4,10:12,356
2013/6/4,10:18,357
2013/6/4,10:24,359
2013/6/4,10:30,360
2013/6/4,10:36,362
2013/6/4,10:42,362
2013/6/4,10:48,364
2013/6/4,10:54,365
2013/6/4,11:00,366
2013/6/4,11:06,367
2013/6/4,11:12,367
2013/6/4,11:18,368
2013/6/4,11:24,368
2013/6/4,11:30,369
2013/6/4,11:36,370
2013/6/4,11:42,370
2013/6/4,11:48,371
2013/6/4,11:54,367
2013/6/4,12:00,361
2013/6/4,12:06,352
2013/6/4,12:12,350
2013/6/4,12:18,348
2013/6/4,12:24,346
2013/6/4,12:30,346
2013/6/4,12:36,346
2013/6/4,12:42,346
2013/6/4,12:48,351
2013/6/4,12:54,355
2013/6/4,13:00,362
2013/6/4,13:06,370
2013/6/4,13:12,372
2013/6/4,13:18,373
2013/6/4,13:24,375
2013/6/4,13:30,378
2013/6/4,13:36,378
2013/6/4,13:42,377
2013/6/4,13:48,378
2013/6/4,13:54,379
2013/6/4,14:00,379
2013/6/4,14:06,377
2013/6/4,14:12,377
2013/6/4,14:18,376
2013/6/4,14:24,378
2013/6/4,14:30,377
2013/6/4,14:36,377
2013/6/4,14:42,375
2013/6/4,14:48,375
2013/6/4,14:54,373
2013/6/4,15:00,374
2013/6/4,15:06,370
2013/6/4,15:12,372
2013/6/4,15:18,371
2013/6/4,15:24,374
2013/6/4,15:30,376
2013/6/4,15:36,377
2013/6/4,15:42,378
2013/6/4,15:48,379
