2013/6/4 16:32 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
1138,14:00～15:00,6/3,18:02

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1000,14:00～15:00,6/4,6:37

DATE,TIME,当日実績(万kW),予測値（万kW)
2013/6/4,0:00,753,0
2013/6/4,1:00,751,0
2013/6/4,2:00,772,0
2013/6/4,3:00,784,0
2013/6/4,4:00,774,0
2013/6/4,5:00,766,0
2013/6/4,6:00,784,0
2013/6/4,7:00,816,0
2013/6/4,8:00,889,0
2013/6/4,9:00,955,0
2013/6/4,10:00,971,0
2013/6/4,11:00,985,0
2013/6/4,12:00,928,0
2013/6/4,13:00,992,0
2013/6/4,14:00,1003,0
2013/6/4,15:00,993,0
2013/6/4,16:00,0,0
2013/6/4,17:00,0,0
2013/6/4,18:00,0,0
2013/6/4,19:00,0,0
2013/6/4,20:00,0,0
2013/6/4,21:00,0,0
2013/6/4,22:00,0,0
2013/6/4,23:00,0,0

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

メッセージＮｏ,節電お願い文
,


DATE,TIME,当日実績（５分間隔値）(万kW)
2013/6/4,0:00,764
2013/6/4,0:05,759
2013/6/4,0:10,756
2013/6/4,0:15,756
2013/6/4,0:20,761
2013/6/4,0:25,758
2013/6/4,0:30,756
2013/6/4,0:35,756
2013/6/4,0:40,752
2013/6/4,0:45,743
2013/6/4,0:50,745
2013/6/4,0:55,743
2013/6/4,1:00,744
2013/6/4,1:05,747
2013/6/4,1:10,752
2013/6/4,1:15,749
2013/6/4,1:20,747
2013/6/4,1:25,754
2013/6/4,1:30,748
2013/6/4,1:35,754
2013/6/4,1:40,757
2013/6/4,1:45,744
2013/6/4,1:50,753
2013/6/4,1:55,759
2013/6/4,2:00,759
2013/6/4,2:05,765
2013/6/4,2:10,768
2013/6/4,2:15,770
2013/6/4,2:20,765
2013/6/4,2:25,767
2013/6/4,2:30,776
2013/6/4,2:35,771
2013/6/4,2:40,772
2013/6/4,2:45,776
2013/6/4,2:50,784
2013/6/4,2:55,784
2013/6/4,3:00,784
2013/6/4,3:05,788
2013/6/4,3:10,783
2013/6/4,3:15,787
2013/6/4,3:20,784
2013/6/4,3:25,787
2013/6/4,3:30,780
2013/6/4,3:35,780
2013/6/4,3:40,775
2013/6/4,3:45,785
2013/6/4,3:50,789
2013/6/4,3:55,786
2013/6/4,4:00,779
2013/6/4,4:05,788
2013/6/4,4:10,777
2013/6/4,4:15,786
2013/6/4,4:20,783
2013/6/4,4:25,779
2013/6/4,4:30,773
2013/6/4,4:35,771
2013/6/4,4:40,767
