2013/6/4 15:00 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
4153,14:00～15:00,6/4,8:30

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3600,14:00～15:00,6/4,8:30

DATE,TIME,当日実績(万kW),予測値（万kW)
2013/6/4,0:00,2599,0
2013/6/4,1:00,2459,0
2013/6/4,2:00,2423,0
2013/6/4,3:00,2424,0
2013/6/4,4:00,2407,0
2013/6/4,5:00,2401,0
2013/6/4,6:00,2565,0
2013/6/4,7:00,2803,0
2013/6/4,8:00,3090,0
2013/6/4,9:00,3376,0
2013/6/4,10:00,3499,0
2013/6/4,11:00,3553,0
2013/6/4,12:00,3397,0
2013/6/4,13:00,3589,0
2013/6/4,14:00,3624,0
2013/6/4,15:00,0,0
2013/6/4,16:00,0,0
2013/6/4,17:00,0,0
2013/6/4,18:00,0,0
2013/6/4,19:00,0,0
2013/6/4,20:00,0,0
2013/6/4,21:00,0,0
2013/6/4,22:00,0,0
2013/6/4,23:00,0,0

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

メッセージＮｏ,節電お願い文
,
,

DATE,TIME,当日実績（５分間隔値）(万kW)
2013/6/4,0:00,2677
2013/6/4,0:05,2669
2013/6/4,0:10,2659
2013/6/4,0:15,2627
2013/6/4,0:20,2631
2013/6/4,0:25,2609
2013/6/4,0:30,2597
2013/6/4,0:35,2565
2013/6/4,0:40,2561
2013/6/4,0:45,2542
2013/6/4,0:50,2536
2013/6/4,0:55,2513
2013/6/4,1:00,2509
2013/6/4,1:05,2494
2013/6/4,1:10,2468
2013/6/4,1:15,2462
2013/6/4,1:20,2446
2013/6/4,1:25,2459
2013/6/4,1:30,2465
2013/6/4,1:35,2436
2013/6/4,1:40,2435
2013/6/4,1:45,2450
2013/6/4,1:50,2444
2013/6/4,1:55,2441
2013/6/4,2:00,2435
2013/6/4,2:05,2436
2013/6/4,2:10,2433
2013/6/4,2:15,2413
2013/6/4,2:20,2424
2013/6/4,2:25,2416
2013/6/4,2:30,2410
2013/6/4,2:35,2426
2013/6/4,2:40,2428
2013/6/4,2:45,2414
2013/6/4,2:50,2419
2013/6/4,2:55,2418
2013/6/4,3:00,2422
2013/6/4,3:05,2423
2013/6/4,3:10,2418
2013/6/4,3:15,2428
2013/6/4,3:20,2445
2013/6/4,3:25,2423
2013/6/4,3:30,2411
2013/6/4,3:35,2418
2013/6/4,3:40,2423
2013/6/4,3:45,2431
2013/6/4,3:50,2423
2013/6/4,3:55,2421
